bookID,title,authors,average_rating,isbn,isbn13,language_code,num_pages,ratings_count,text_reviews_count,publication_date,publisher,publisher_country,country,latitude,longitude,coordinates,first_published,book_format,edition_avgRating,added_toShelves,first_author,num_contributors,size_of_publisher,size_of_author,book_count,is_serie,has_edition,book_age,category,genre_category,description,standardized_genres
1,harry potter and the halfblood prince harry potter 6,j.k. rowling/mary grandpré,4.57,0439785960,9780439785969,eng,652,2095690,27591,9/16/2006,scholastic,united states,us,37.09024,-95.712891,"(37.09024, -95.712891)","july 16, 2005",paperback,4.57,4405980.0,jk rowling,2,3,2,2,1,1,1,paperback,fiction,"It is the middle of the summer, but there is an unseasonal mist pressing against the windowpanes. Harry Potter is waiting nervously in his bedroom at the Dursleys' house in Privet Drive for a visit from Professor Dumbledore himself. One of the last times he saw the Headmaster, he was in a fierce one-to-one duel with Lord Voldemort, and Harry can't quite believe that Professor Dumbledore will actually appear at the Dursleys' of all places. Why is the Professor coming to visit him now? What is it that cannot wait until Harry returns to Hogwarts in a few weeks' time? Harry's sixth year at Hogwarts has already got off to an unusual start, as the worlds of Muggle and magic start to intertwine...",Fiction
2,harry potter and the order of the phoenix harry potter 5,j.k. rowling/mary grandpré,4.49,0439358078,9780439358071,eng,870,2153167,29221,9/1/2004,scholastic,united states,us,37.09024,-95.712891,"(37.09024, -95.712891)","june 21, 2003",paperback,4.5,4518536.0,jk rowling,2,3,2,1,1,1,1,paperback,bildungsromans,"Harry Potter is about to start his fifth year at Hogwarts School of Witchcraft and Wizardry. Unlike most schoolboys, Harry never enjoys his summer holidays, but this summer is even worse than usual. The Dursleys, of course, are making his life a misery, but even his best friends, Ron and Hermione, seem to be neglecting him. Harry has had enough. He is beginning to think he must do something, anything, to change his situation, when the summer holidays come to an end in a very dramatic fashion. What Harry is about to discover in his new year at Hogwarts will turn his world upside down...","Coming of Age, Fiction"
4,harry potter and the chamber of secrets harry potter 2,j.k. rowling,4.42,0439554896,9780439554893,eng,352,6333,244,11/1/2003,scholastic,united states,us,37.09024,-95.712891,"(37.09024, -95.712891)","july 2, 1998",hardcover,4.05,7469.0,jk rowling,1,3,2,2,1,1,1,hardcover,juvenile fiction,"The Dursleys were so mean and hideous that summer that all Harry Potter wanted was to get back to the Hogwarts School for Witchcraft and Wizardry. But just as he's packing his bags, Harry receives a warning from a strange, impish creature named Dobby who says that if Harry Potter returns to Hogwarts, disaster will strike. And strike it does. For in Harry's second year at Hogwarts, fresh torments and horrors arise, including an outrageously stuck-up new professor, Gilderoy Lockhart, a spirit named Moaning Myrtle who haunts the girls' bathroom, and the unwanted attentions of Ron Weasley's younger sister, Ginny. But each of these seem minor annoyances when the real trouble begins, and someone, or something, starts turning Hogwarts students to stone. Could it be Draco Malfoy, a more poisonous rival than ever? Could it possibly be Hagrid, whose mysterious past is finally told? Or could it be the one everyone at Hogwarts most suspects: Harry Potter himself?","Children, Fiction"
5,harry potter and the prisoner of azkaban harry potter 3,j.k. rowling/mary grandpré,4.56,043965548x,9780439655484,eng,435,2339585,36325,5/1/2004,scholastic,united kingdom,gb,55.378051,-3.435973,"(55.378051, -3.435973)","july 8, 1999",mass market paperback,4.57,5223956.0,jk rowling,2,3,2,2,1,1,1,paperback,juvenile fiction,"Harry Potter, along with his best friends, Ron and Hermione, is about to start his third year at Hogwarts School of Witchcraft and Wizardry. Harry can't wait to get back to school after the summer holidays. (Who wouldn't if they lived with the horrible Dursleys?) But when Harry gets to Hogwarts, the atmosphere is tense. There's an escaped mass murderer on the loose, and the sinister prison guards of Azkaban have been called in to guard the school...","Children, Fiction"
8,harry potter boxed set books 15 harry potter 15,j.k. rowling/mary grandpré,4.78,0439682584,9780439682589,eng,2690,41428,164,9/13/2004,scholastic,united kingdom,gb,55.378051,-3.435973,"(55.378051, -3.435973)","october 1, 2003",paperback,4.72,172736.0,jk rowling,2,3,2,1,1,0,1,paperback,biography & autobiography,"Box Set containing Harry Potter and the Sorcerer's Stone, Harry Potter and the Chamber Of Secrets, Harry Potter and the Prisoner of Azkaban, Harry Potter and the Goblet Of Fire, and Harry Potter and the Order of the Phoenix!","Biography, Autobiography"
9,unauthorized harry potter book seven news halfblood prince analysis and speculation,w. frederick zimmerman,3.74,0976540606,9780976540601,en-us,152,19,1,4/26/2005,nimble,united states,us,37.09024,-95.712891,"(37.09024, -95.712891)","april 1, 2005",paperback,3.88,2076.0,w frederick zimmerman,1,1,1,1,0,0,1,paperback,fiction,"Through the magic of print-on-demand technology, this ""nimble"" guide to the work of best-selling author J. K. Rowling provides the latest news about the author and her works, updated whenever there are significant developments. Unlike a conventional book, for which editions are printed in quantity every couple of years, this ""living book"" goes through frequent ""mini-editions"" and is printed fresh whenever customers place an order. Purchasers are entitled to free PDF updates! An entirely new section of analysis with more than 75 new pages will be added shortly after the release of ""Harry Potter and the Half-Blood Prince"" on July 16, 2005.",Fiction
10,harry potter collection harry potter 16,j.k. rowling,4.73,0439827604,9780439827607,eng,3342,28242,808,9/12/2005,scholastic,united kingdom,gb,55.378051,-3.435973,"(55.378051, -3.435973)","january 1, 2005",hardcover,4.73,43154.0,jk rowling,1,3,2,1,1,0,1,hardcover,children's stories,"Six years of magic, adventure, and mystery make this luxurious boxed set the perfect gift for Harry Potter fans of all ages. Follow Harry from his first days at Hogwarts School for Witchcraft and Wizardry, through his many adventures with Hermione and Ron, to his confrontations with rival Draco Malfoy and the dreaded Professor Snape. From the thrilling search for the Sorcerer's Stone to the Triwizard Tournament to the return of He-Who-Must-Not-Be-Named, each adventure is more riveting and exhilarating than its predecessor, and now all six books are available together for the first time in an elegant hardcover boxed set.",Children
12,the ultimate hitchhikers guide five complete novels and one story hitchhikers guide to the galaxy 15,douglas adams,4.38,0517226952,9780517226957,eng,815,3628,254,11/1/2005,gramercy,united states,us,37.09024,-95.712891,"(37.09024, -95.712891)","january 17, 1996",leather bound,4.52,5874.0,douglas adams,1,2,2,1,1,1,1,hardcover,fiction,"At last in paperback in one complete volume, here are the five novels from Douglas Adams's Hitchhiker series. ""The Hitchhiker's Guide to the Galaxy"" Seconds before the Earth is demolished for a galactic freeway, Arthur Dent is saved by Ford Prefect, a researcher for the revised Guide. Together they stick out their thumbs to the stars and begin a wild journey through time and space. ""The Restaurant at the End of the Universe"" Facing annihilation at the hands of warmongers is a curious time to crave tea. It could only happen to the cosmically displaced Arthur Dent and his comrades as they hurtle across the galaxy in a desperate search for a place to eat. ""Life, the Universe and Everything"" The unhappy inhabitants of planet Krikkit are sick of looking at the night sky- so they plan to destroy it. The universe, that is. Now only five individuals can avert Armageddon: mild-mannered Arthur Dent and his stalwart crew. ""So Long, and Thanks for All the Fish"" Back on Earth, Arthur Dent is ready to believe that the past eight years were all just a figment of his stressed-out imagination. But a gift-wrapped fishbowl with a cryptic inscription conspires to thrust him back to reality. So to speak. ""Mostly Harmless"" Just when Arthur Dent makes the terrible mistake of starting to enjoy life, all hell breaks loose. Can he save the Earth from total obliteration? Can he save the Guide from a hostile alien takeover? Can he save his daughter from herself? Also includes the short story ""Young Zaphod Plays It Safe"".",Fiction
13,the ultimate hitchhikers guide to the galaxy hitchhikers guide to the galaxy 15,douglas adams,4.38,0345453743,9780345453747,eng,815,249558,4080,4/30/2002,del rey,united states,us,37.09024,-95.712891,"(37.09024, -95.712891)","january 17, 1996",paperback,4.37,516365.0,douglas adams,1,3,2,1,1,1,1,paperback,fiction,"At last in paperback in one complete volume, here are the five novels from Douglas Adams's Hitchhiker series. ""The Hitchhiker's Guide to the Galaxy"" Seconds before the Earth is demolished for a galactic freeway, Arthur Dent is saved by Ford Prefect, a researcher for the revised Guide. Together they stick out their thumbs to the stars and begin a wild journey through time and space. ""The Restaurant at the End of the Universe"" Facing annihilation at the hands of warmongers is a curious time to crave tea. It could only happen to the cosmically displaced Arthur Dent and his comrades as they hurtle across the galaxy in a desperate search for a place to eat. ""Life, the Universe and Everything"" The unhappy inhabitants of planet Krikkit are sick of looking at the night sky- so they plan to destroy it. The universe, that is. Now only five individuals can avert Armageddon: mild-mannered Arthur Dent and his stalwart crew. ""So Long, and Thanks for All the Fish"" Back on Earth, Arthur Dent is ready to believe that the past eight years were all just a figment of his stressed-out imagination. But a gift-wrapped fishbowl with a cryptic inscription conspires to thrust him back to reality. So to speak. ""Mostly Harmless"" Just when Arthur Dent makes the terrible mistake of starting to enjoy life, all hell breaks loose. Can he save the Earth from total obliteration? Can he save the Guide from a hostile alien takeover? Can he save his daughter from herself? Also includes the short story ""Young Zaphod Plays It Safe"".",Fiction
14,the hitchhikers guide to the galaxy hitchhikers guide to the galaxy 1,douglas adams,4.22,1400052920,9781400052929,eng,215,4930,460,8/3/2004,crown,united kingdom,gb,55.378051,-3.435973,"(55.378051, -3.435973)","october 12, 1979",hardcover,4.14,16605.0,douglas adams,1,3,2,4,1,1,0,hardcover,fiction,"Seconds before the Earth is demolished to make way for a galactic freeway, Arthur Dent is plucked off the planet by his friend Ford Prefect, a researcher for the revised edition of The Hitchhiker's Guide to the Galaxy who, for the last fifteen years, has been posing as an out-of-work actor. Together this dynamic pair begin a journey through space aided by quotes from The Hitchhiker's Guide (""A towel is about the most massively useful thing an interstellar hitchhiker can have"") and a galaxy-full of fellow travelers: Zaphod Beeblebrox--the two-headed, three-armed ex-hippie and totally out-to-lunch president of the galaxy; Trillian, Zaphod's girlfriend (formally Tricia McMillan), whom Arthur tried to pick up at a cocktail party once upon a time zone; Marvin, a paranoid, brilliant, and chronically depressed robot; Veet Voojagig, a former graduate student who is obsessed with the disappearance of all the ballpoint pens he bought over the years. Where are these pens? Why are we born? Why do we die? Why do we spend so much time between wearing digital watches? For all the answers stick your thumb to the stars. And don't forget to bring a towel!",Fiction
